Man United stock price[the second day after the game] change  (dollar),game result
-0.45,0
-0.05,0
-0.6,1
0,1
0.45,0
0.35,1
0.05,1
0.25,1
-0.2,1
0.2,1
0.4,0
-1.05,1
1.75,0
-0.05,1
-1.2,1
0.4,1
0.25,0
0,0
0,1
0,1
-0.25,0
0.25,1
0.65,1
0.75,1
-2.9,1
-0.15,0
-0.55,1
0.2,0
0,0
-0.4,1
-0.3,1
-0.6,1
-0.2,0
-0.15,1
-0.1,1
0.35,1
-0.05,1
-0.5,0
0.1,0
0.2,0
0.35,0
-0.45,0
-0.4,1
0.75,1
0.1,1
0,0
0.05,0
-0.2,1
-0.3,0
-0.65,1
-0.8,1
0.1,0
0.5,1
0.2,0
-0.05,0
-1.05,1
-0.15,1
-0.15,1
-0.1,1
0.9,1
-0.5,0
0.3,0
0.1,0
0,1
0.2,0
0.5,0
0.05,0
1.19,1
-0.25,1
0.42,0
-0.01,0
-0.64,1
-0.24,1
0.25,1
-0.04,1
0.19,0
0.17,1
0.26,0
-2.38,1
-0.57,1
-0.35,0
0.06,1
-0.25,1
0.65,0
0.09,1
-0.18,1
0.4,0
-0.52,0
1.1,1
0.52,0
-0.83,1
0.77,0
1.79,1
0.71,0
0.02,0
-0.15,0
-0.21,0
0.95,0
-0.37,0
-0.03,1
-0.41,1
0.19,0
0.02,0
-0.43,1
-0.12,0
-0.11,1
0.63,1
-0.32,1
-0.05,0
-0.2,0
0.66,1
0.33,1
-1.92,0
-0.08,0
-1.06,1
-0.01,0
0.32,0
-0.04,0
0.22,1
-0.07,1
-0.16,1
-0.19,1
0.2,1
0.23,1
0.28,0
1.13,1
-1.15,0
-0.16,1
-0.05,1
0.15,0
-0.39,0
0.15,1
-0.16,0
-0.01,0
-0.28,1
0.92,1
-0.4,1
0.18,1
0.08,1
-0.51,1
0.03,0
0.17,0
0.44,0
-0.3,1
0.28,1
0,0
-0.32,1
0.93,0
0.65,0
0.04,0
-0.99,0
0.71,1
-0.45,0
-0.04,1
0.79,0
-0.92,1
0.44,1
-1.06,0
-0.36,1
0.07,0
-0.05,1
-1.28,1
0.01,0
0.26,0
0.15,0
-0.03,1
0.14,0
0.07,1
0.18,0
0.14,1
-0.24,1
0.09,1
0.13,1
1.78,0
0,0
-0.21,0
-0.09,0
-0.87,1
0.15,1
-0.01,1
0.64,0
0.1,1
0.42,0
-0.07,0
-0.29,1
-0.17,0
0.16,0
0.48,1
